93	122	97	88	88	98	90	95	104	108	89	107	97	91	107	96	95	80	100	89
91	85	103	96	101	75	105	91	78	93	107	90	92	91	99	97	95	111	94	91
98	100	113	96	100	92	108	89	95	95	110	104	107	94	85	78	103	115	104	105
89	121	119	85	106	104	102	109	100	99	92	101	104	111	87	97	104	99	107	91
94	101	84	97	104	94	95	105	99	89	103	88	101	112	97	90	114	92	80	101
105	106	96	104	85	94	92	96	64	87	107	87	100	111	127	93	98	100	87	106
105	97	93	101	101	122	96	93	103	102	95	109	81	94	91	99	91	101	95	109
102	116	93	93	110	100	92	97	98	99	94	108	99	91	105	97	103	85	105	118
92	95	99	112	110	104	114	83	114	117	100	97	74	92	99	90	99	93	123	94
106	93	108	100	77	107	97	97	100	80	104	98	91	112	108	105	101	82	74	96
