117	90	112	111	102	90	93	110	96	110	99	94	113	94	105	92	108	105	107	94
97	112	115	84	100	105	108	80	102	105	96	89	104	108	79	100	97	74	112	94
81	107	108	102	101	105	101	93	102	107	113	102	86	97	98	80	106	92	79	84
90	112	90	117	108	99	97	99	105	97	115	101	117	99	102	95	100	118	96	101
101	104	115	94	91	94	102	97	94	94	97	93	103	95	96	105	102	94	102	100
108	114	118	97	110	96	107	104	114	105	91	93	99	119	104	103	99	99	111	97
111	91	85	119	104	107	103	92	97	87	93	110	118	102	106	104	101	108	109	106
90	124	103	81	87	98	86	103	95	98	91	116	102	98	95	92	107	99	98	104
92	100	91	96	89	116	113	96	87	99	88	94	80	99	90	93	107	123	103	125
103	110	93	119	92	96	100	88	91	96	84	112	101	90	98	94	115	86	111	79
