95	93	108	103	113	97	101	106	105	105	90	101	119	86	113	85	119	95	98	91
105	105	104	99	97	90	98	91	110	113	95	107	86	99	107	115	105	95	101	99
113	99	102	109	102	112	98	116	86	105	101	83	99	112	89	93	103	113	106	113
108	113	90	117	122	116	97	99	104	98	116	97	96	113	110	102	105	110	88	84
102	114	107	86	93	82	95	89	105	106	113	98	93	115	92	89	87	106	110	102
112	95	111	105	97	97	88	101	104	112	86	109	109	77	104	99	98	105	108	111
91	95	105	126	105	83	93	99	101	92	105	108	110	108	94	106	92	105	112	84
105	97	99	82	112	102	94	94	97	80	78	111	117	97	82	96	110	96	89	86
83	99	101	98	96	112	83	119	116	106	96	96	112	94	84	103	110	104	104	106
95	102	97	100	89	99	103	80	93	104	92	97	100	130	97	88	105	76	98	104
