94	108	93	85	111	103	95	100	111	113	90	94	96	86	79	98	102	99	112	117
92	102	101	91	101	92	79	82	100	109	113	102	92	96	95	113	91	95	107	104
91	108	87	96	91	111	84	97	107	103	114	105	94	99	88	99	107	92	109	101
117	109	90	100	105	121	99	100	104	122	113	95	118	92	105	108	105	90	111	98
109	103	95	90	102	104	106	90	94	84	87	93	110	94	100	98	102	112	106	91
102	108	108	85	87	99	105	101	91	80	114	95	102	100	94	77	119	91	119	101
91	109	97	110	97	119	103	110	100	108	116	91	85	94	110	101	107	118	105	102
114	94	91	100	85	107	96	100	106	119	87	104	85	98	93	99	93	101	110	101
95	95	95	97	90	88	108	105	92	93	117	87	116	99	100	118	95	95	92	115
89	97	101	90	91	94	107	102	80	98	92	104	101	98	121	92	93	83	108	107
