101	102	115	109	97	101	103	102	93	119	81	97	102	88	94	104	92	108	104	100
111	102	89	81	89	89	95	102	112	99	98	97	88	112	101	116	86	90	108	81
99	98	89	90	89	94	114	104	95	95	108	90	106	107	109	83	92	93	99	102
117	84	106	78	102	76	102	104	85	106	110	104	79	108	112	109	105	88	114	115
101	95	112	83	87	107	95	99	112	90	105	98	100	103	109	98	98	91	121	84
114	120	92	99	99	87	105	102	77	110	118	96	97	114	106	88	89	74	92	113
80	110	118	97	85	83	89	106	115	103	117	111	105	93	93	94	102	99	109	99
84	105	84	83	86	97	89	100	107	116	107	95	91	101	101	104	101	104	103	99
87	113	89	102	103	102	86	78	109	101	118	103	84	97	104	111	96	89	123	92
106	92	99	92	106	96	90	107	108	107	100	111	90	109	90	108	103	97	86	107
