101	96	92	128	95	87	91	113	110	90	77	77	102	109	83	91	95	106	115	93
96	87	89	105	109	101	90	76	110	109	92	93	82	90	116	87	99	98	95	100
79	103	114	91	105	88	115	94	83	90	95	107	97	102	94	91	109	103	98	96
97	105	99	101	117	107	99	111	93	93	104	99	94	90	89	91	92	87	83	106
96	76	99	116	110	103	102	96	102	104	107	103	93	114	106	103	106	112	102	100
113	104	110	108	117	91	94	104	94	114	93	100	115	110	101	122	114	96	87	96
112	123	98	114	97	78	109	102	85	88	108	106	95	124	90	104	108	102	103	86
99	73	113	113	97	119	108	87	85	102	99	92	110	92	92	103	101	98	79	90
93	107	117	106	106	105	81	99	85	81	109	119	98	95	98	114	126	118	96	118
109	99	90	115	98	90	112	103	115	109	117	101	97	98	112	118	106	91	84	91
