90	94	107	101	96	101	115	100	75	103	97	107	102	106	115	106	96	112	100	76
104	81	85	103	107	82	88	94	82	93	86	82	110	119	85	126	97	84	87	90
87	89	81	102	112	106	114	111	100	85	93	75	94	106	91	105	109	110	96	107
113	107	92	101	107	96	114	96	117	107	91	114	123	101	101	98	81	108	88	93
99	106	98	82	95	93	105	100	117	92	96	87	98	111	93	94	102	111	97	96
97	107	85	124	101	116	96	110	86	103	107	88	110	110	106	80	107	88	103	123
116	108	104	97	91	92	101	95	97	100	116	99	102	115	88	99	89	85	97	85
100	125	91	96	87	83	99	99	104	98	101	103	95	101	115	114	97	94	102	100
79	103	113	110	107	91	116	100	112	89	91	101	106	91	100	96	110	115	87	99
91	94	88	103	87	92	93	110	94	104	94	95	87	82	90	86	90	85	101	86
