88	100	91	98	87	93	91	83	94	105	96	87	104	97	109	109	93	85	111	102
93	84	105	95	107	97	96	118	107	83	97	95	100	121	107	91	102	109	98	102
95	91	102	105	107	105	91	105	106	114	103	108	105	88	102	100	105	89	110	109
107	96	112	103	102	111	102	93	110	92	98	105	94	98	86	89	74	105	102	108
104	99	90	97	117	131	93	103	111	100	98	92	108	102	96	105	99	100	125	106
107	102	79	100	83	91	104	90	94	98	84	80	89	102	94	88	92	86	101	106
87	86	96	97	104	106	94	87	102	93	91	104	101	111	122	88	114	106	99	93
94	101	106	100	95	85	103	104	108	96	95	93	97	97	99	101	88	86	105	101
97	100	95	84	100	101	102	90	94	90	109	88	93	101	109	110	100	103	88	92
120	112	83	81	125	92	97	127	108	100	90	80	86	91	112	108	109	104	81	99
